district,state,abbreviation,state_dist,year,laborforce_unemployed,PercentCar,PercentCarpool,PercentPublicTrans,Walked,Other_means,Management_business_science_and_arts,Service,Sales_and_office,Natural_resources_construction_and_maintenance,Production_transportation_and_material_moving,Private_wage_and_salary_workers,Government_workers,Less_than_10000,Median_household_income,No_health_insurance,non_fam_household,college_enroll,vet_percent,diff_house_1year,foreign_born,ForeignNotCit,ForeignCit,home_lang_not_english,own_computer,total_pop,median_age,white_pct,black_pct,amer_ind,asianpac,hispanic_pct,PctU20,Pct20t45,Pct45t65,Pct65plus,U25k,r25k_50k,r50k_100k,r100k_200k,r200kplus,NoHighSchool,HighSchoolEd,SomeCollege,BachelorsOrHigher,pct_won,party
13,California,CA,CA-13,2018,3.1,51.3,8.6,22.2,5.6,5.2,52.7,15.3,17.1,5.3,9.7,76.0,14.2,5.8,82237,5.3,45.5,42.8,3.2,13.6,26.0,12.427999999999999,13.572000000000001,39.0,94.1,764304,36.7,40.9,16.6,0.7,21.9,22.1,20.6,40.5,24.1,14.1,17.2,14.9,24.4,26.2,17.2,11.4,15.6,22.1,50.8,88.38,D
14,California,CA,CA-14,2018,2.8,63.1,10.9,15.2,2.6,3.6,48.6,17.9,19.3,5.2,9.0,81.5,11.6,3.4,117054,3.4,31.0,35.3,4.0,11.0,37.4,14.4364,22.9636,48.3,96.0,759415,40.1,43.3,2.9,0.3,36.2,23.2,21.2,35.2,26.7,16.5,10.0,10.9,22.7,29.5,26.8,10.7,14.8,23.9,50.5,79.22,D
15,California,CA,CA-15,2018,2.4,70.9,9.9,9.4,1.2,2.0,50.7,14.4,18.4,6.7,9.8,83.3,11.0,2.5,119997,2.5,22.4,24.5,3.9,10.1,35.0,13.93,21.07,49.9,96.8,789174,38.4,39.9,5.2,0.5,37.0,22.3,24.6,34.7,26.7,13.5,8.0,10.7,23.1,32.4,25.8,9.9,19.6,24.3,46.2,72.97,D
16,California,CA,CA-16,2018,6.5,77.9,11.0,1.2,2.1,4.8,22.7,21.3,17.7,20.2,18.0,78.1,15.8,8.3,47759,8.7,28.4,21.9,4.4,12.6,24.6,14.6616,9.9384,54.6,89.3,749967,30.5,56.3,5.2,1.1,9.5,61.4,32.3,35.8,20.7,10.4,27.4,23.9,31.0,15.0,2.8,31.7,25.8,28.9,13.6,57.55,D
17,California,CA,CA-17,2018,2.6,74.9,9.9,5.4,2.1,3.0,60.6,11.2,15.6,4.2,8.3,88.9,7.1,2.8,141217,2.9,26.6,30.7,2.8,13.8,49.6,24.9984,24.6016,61.2,97.0,777468,36.4,28.7,2.1,0.4,56.5,15.9,21.5,40.0,25.2,12.4,8.9,7.4,17.3,34.7,31.6,7.8,13.3,19.0,59.9,75.35,D
23,California,CA,CA-23,2018,5.0,80.2,11.3,1.1,1.2,1.4,31.8,20.2,19.8,15.0,13.2,72.9,19.1,8.1,56995,7.4,30.1,24.4,7.3,12.3,14.7,7.7763,6.9237,31.4,92.6,747852,34.7,74.7,6.0,1.1,5.4,42.0,27.5,33.3,24.0,13.1,23.6,21.1,29.2,20.7,5.4,19.4,25.3,35.2,20.1,63.72,R
25,California,CA,CA-25,2018,3.4,79.7,10.6,1.4,1.0,1.5,39.0,19.1,21.8,9.2,10.9,76.9,14.4,6.0,82243,5.5,23.7,26.0,5.4,9.6,20.6,7.4984,13.1016,34.1,94.3,716257,37.1,63.3,7.3,0.7,8.8,40.5,26.5,31.5,27.2,13.1,15.2,15.9,27.5,29.8,11.6,15.2,22.4,33.7,28.6,54.37,D
27,California,CA,CA-27,2018,2.3,76.7,9.0,3.3,2.7,2.2,46.0,16.9,23.5,5.2,8.4,77.9,13.8,5.7,76515,4.9,28.6,35.3,3.1,9.2,39.1,14.8971,24.2029,56.6,94.4,705509,41.4,37.8,4.0,0.3,40.1,27.9,20.9,32.5,27.6,18.1,17.5,17.3,26.3,26.0,12.9,14.1,18.4,24.4,43.0,79.21,D
52,California,CA,CA-52,2018,2.7,74.0,8.2,1.9,4.5,3.1,59.7,12.9,17.8,3.6,6.1,78.3,13.9,4.1,100124,5.2,38.6,39.6,8.4,17.7,22.6,9.7406,12.8594,29.3,97.3,767172,37.0,65.9,3.5,0.4,20.3,15.0,22.9,38.6,24.5,14.6,10.9,13.6,25.4,32.8,17.4,5.5,11.0,24.0,59.5,63.85,D
53,California,CA,CA-53,2018,3.4,79.2,8.8,2.6,1.3,2.6,41.0,21.2,21.5,6.5,9.8,76.1,16.7,3.4,79898,8.0,36.8,38.1,8.3,15.1,23.3,9.1103,14.1897,39.9,97.0,796701,34.9,64.5,8.0,0.3,14.9,34.4,23.3,41.2,23.0,12.5,13.8,16.4,31.0,30.8,8.0,10.5,17.8,34.1,37.5,69.07,D
1,California,CA,CA-1,2018,3.5,76.9,8.4,0.8,3.4,1.7,34.3,21.5,22.0,10.7,11.4,69.8,18.8,6.4,55316,6.0,38.2,31.2,8.8,15.2,5.7,2.9526,2.7474,12.4,92.2,711282,42.8,85.1,1.8,1.6,2.8,13.9,21.7,30.1,25.9,22.0,22.6,23.1,29.3,20.2,4.9,9.3,23.9,42.0,24.8,54.89,R
6,California,CA,CA-6,2018,4.1,76.2,10.3,2.7,2.4,2.5,37.9,20.6,20.8,8.8,11.9,72.1,20.6,5.8,60661,5.9,37.8,28.2,5.9,14.8,24.8,11.8296,12.9704,40.0,95.0,777985,34.0,49.6,12.8,0.7,18.0,28.8,26.4,38.2,22.4,12.3,20.9,21.5,30.7,21.3,5.7,15.1,23.4,31.8,29.7,80.43,D
20,California,CA,CA-20,2018,3.4,71.0,9.8,1.7,4.0,8.1,30.6,20.3,19.6,16.0,13.5,77.4,14.9,4.2,75460,8.7,28.5,33.3,5.1,12.5,26.3,17.7525,8.5475,50.6,94.0,739352,35.1,58.0,2.0,1.1,5.8,54.1,27.8,34.5,23.4,14.0,14.3,18.4,30.0,26.3,11.0,23.3,20.1,28.4,28.1,81.37,D
21,California,CA,CA-21,2018,5.8,76.9,17.3,0.4,1.4,1.3,17.6,18.7,15.4,30.7,17.5,80.1,13.8,7.8,44561,8.4,19.3,19.9,4.3,11.1,29.0,21.576,7.4239999999999995,62.3,87.3,713625,30.4,71.5,4.2,1.1,4.2,74.3,32.1,38.1,19.8,9.0,26.4,28.4,29.6,13.6,2.0,39.4,26.7,24.7,9.2,50.38,D
24,California,CA,CA-24,2018,3.3,69.2,14.0,1.8,4.0,3.5,37.3,19.9,19.2,14.1,9.5,74.2,17.0,5.5,75025,9.2,33.9,45.3,6.5,17.5,18.3,11.3643,6.9357,32.1,94.4,738707,36.1,81.9,2.0,1.1,4.9,36.7,24.5,34.5,23.1,17.3,15.1,17.6,30.2,26.5,10.5,14.6,19.1,31.5,34.9,58.56,D
29,California,CA,CA-29,2018,3.8,73.1,12.0,6.3,1.5,2.8,26.4,24.2,21.3,12.4,15.8,78.9,9.2,5.8,55176,11.2,28.1,30.7,2.3,7.3,42.9,21.5787,21.3213,73.1,88.5,707741,35.3,55.0,3.9,0.7,8.1,67.3,24.7,38.1,25.0,11.7,21.2,24.3,30.0,19.9,4.6,29.0,23.9,26.1,21.1,80.61,D
32,California,CA,CA-32,2018,3.8,75.1,12.9,4.2,1.8,2.1,28.5,21.5,23.0,9.1,18.0,81.2,11.8,3.7,70814,7.5,20.3,32.7,3.2,7.4,34.6,15.224,19.375999999999998,63.0,94.8,716199,37.0,51.6,2.7,1.3,19.1,62.7,24.5,35.1,26.1,13.5,16.0,18.7,31.9,27.2,6.1,23.1,26.7,28.4,21.9,68.78,D
35,California,CA,CA-35,2018,3.8,79.0,11.6,1.6,1.3,1.4,22.9,18.6,21.8,11.7,24.9,82.6,11.4,4.3,66131,11.3,20.0,30.8,3.5,9.6,30.1,16.4647,13.6353,63.0,94.5,769589,32.1,44.4,5.6,0.9,7.6,72.1,28.3,38.8,22.2,9.7,15.5,20.3,37.3,22.6,4.3,28.0,25.5,28.8,17.6,69.4,D
39,California,CA,CA-39,2018,3.0,80.9,8.6,2.2,1.2,1.4,43.1,15.3,25.4,5.2,11.1,80.0,12.2,3.9,89695,6.5,22.4,34.7,3.6,11.9,32.3,12.0479,20.2521,48.7,97.0,726541,38.4,50.4,2.7,0.7,32.9,33.4,22.6,34.2,26.4,15.4,11.3,16.3,27.3,31.1,14.0,10.5,18.6,29.1,41.7,51.56,D
41,California,CA,CA-41,2018,4.2,78.7,13.8,1.6,1.4,1.9,23.4,21.5,23.2,11.7,20.3,80.3,13.2,4.6,67606,11.0,21.4,31.2,3.8,9.8,24.9,12.4251,12.4749,52.6,96.0,775626,31.0,50.1,8.9,0.5,7.0,62.6,29.5,38.2,21.8,9.4,15.2,20.9,34.9,23.5,5.5,22.8,30.0,29.5,17.8,65.1,D
43,California,CA,CA-43,2018,3.3,76.2,9.4,4.1,2.1,3.7,32.2,21.9,23.2,6.8,15.8,79.4,11.0,6.6,64721,10.1,32.6,30.3,3.5,9.4,32.2,17.1948,15.0052,55.1,95.1,753696,35.8,40.8,21.2,0.6,14.1,48.4,26.4,36.6,25.1,12.2,18.6,20.1,31.6,22.8,6.9,21.8,21.8,28.5,28.0,77.67,D
44,California,CA,CA-44,2018,4.7,77.2,12.0,4.7,1.5,1.9,20.9,21.4,21.8,11.6,24.3,81.1,10.9,7.3,53711,11.2,21.6,23.2,3.0,6.3,31.8,18.444000000000003,13.356,68.7,92.2,725177,32.7,44.2,15.4,0.6,6.2,71.6,29.5,36.9,22.2,10.3,22.1,23.8,32.5,17.3,4.4,33.6,27.0,26.2,13.1,68.34,D
50,California,CA,CA-50,2018,2.9,82.4,8.0,0.8,1.4,1.8,34.2,20.9,23.1,10.8,11.0,79.7,11.5,4.9,75136,8.5,26.3,27.6,9.5,12.4,19.2,8.6592,10.5408,27.9,95.9,751551,37.5,80.0,2.4,1.2,5.6,32.8,25.7,33.1,25.6,14.9,14.8,17.9,29.7,28.1,9.6,11.9,23.6,35.8,28.6,51.72,R
51,California,CA,CA-51,2018,5.7,74.0,11.3,5.8,3.1,1.6,22.3,28.0,22.3,12.2,15.3,76.9,15.6,6.4,50101,11.8,25.8,27.8,5.3,9.8,33.7,16.6815,17.0185,69.7,93.0,747510,33.2,67.3,6.9,0.6,8.3,71.2,26.8,37.3,22.6,11.8,24.0,25.9,31.7,15.8,2.6,29.8,24.7,30.0,15.6,71.2,D
1,Colorado,CO,CO-1,2014,3.3,71.5,8.8,6.9,3.6,3.1,43.8,17.4,22.5,8.5,7.8,83.5,10.5,8.3,57347,11.7,48.5,31.4,6.4,22.4,15.6,9.6564,5.9436,25.9,89.2,788694,34.8,79.9,8.3,1.0,3.7,28.2,22.9,42.8,23.3,11.1,21.2,22.8,29.7,19.1,7.3,13.2,17.9,24.7,44.3,65.81,D
2,Colorado,CO,CO-2,2014,3.3,70.9,8.8,3.7,2.9,4.2,46.7,16.8,22.2,7.4,7.0,77.5,14.6,5.5,70322,7.5,37.2,41.9,7.2,20.3,7.4,3.9294,3.4706,10.4,94.4,765721,37.5,90.8,0.9,0.6,3.2,10.2,23.5,36.2,27.1,13.2,15.8,19.9,31.2,25.1,7.9,3.9,16.1,27.3,52.7,56.74,D
3,Colorado,CO,CO-3,2014,4.3,73.3,12.1,1.9,4.2,2.9,33.1,20.5,22.1,14.2,10.1,77.5,14.6,7.8,49885,13.6,35.1,25.0,9.7,16.1,6.8,4.6716,2.1284,15.5,86.2,729368,38.9,88.2,0.9,2.3,0.9,24.8,25.1,31.8,27.3,15.9,23.6,26.4,30.8,16.1,2.9,10.5,26.8,32.1,30.6,57.98,R
4,Colorado,CO,CO-4,2014,3.4,78.5,10.2,1.0,2.6,1.3,37.6,16.6,23.3,11.1,11.4,79.2,14.2,5.2,65595,8.5,28.2,22.4,9.0,17.0,8.1,5.2164,2.8836,15.1,89.9,768242,36.8,89.0,1.6,0.8,1.9,21.7,28.6,32.5,26.3,12.5,16.7,21.3,32.4,23.3,6.3,9.5,24.9,32.8,32.8,64.67,R
5,Colorado,CO,CO-5,2014,4.3,78.3,9.8,0.7,2.8,2.4,39.7,19.0,23.6,9.4,8.2,77.7,16.1,5.9,56789,9.4,31.4,31.0,17.2,22.1,6.3,3.3075,2.9925,11.1,90.7,759664,35.3,80.8,5.3,0.6,2.8,15.4,26.8,35.1,25.5,12.7,20.2,23.3,32.8,19.3,4.5,7.4,22.5,35.5,34.6,59.8,R
6,Colorado,CO,CO-6,2014,3.6,78.6,8.6,4.2,1.2,1.0,42.3,15.8,24.6,9.0,8.3,83.8,11.0,4.3,71518,10.5,29.3,21.6,8.1,18.6,15.2,8.7248,6.4752,23.3,93.7,772966,35.8,74.4,9.1,0.8,5.4,20.0,28.7,35.0,25.3,11.0,14.0,20.4,32.2,25.8,7.6,8.4,19.5,30.1,42.0,51.9,R
7,Colorado,CO,CO-7,2014,3.5,79.0,9.5,3.8,1.5,1.1,37.0,18.3,23.9,10.2,10.7,82.6,12.2,4.8,61426,11.2,36.1,24.0,8.0,15.0,10.6,6.625,3.975,19.2,90.2,771211,36.3,88.1,1.6,1.4,3.4,27.9,25.7,35.5,26.0,12.6,16.8,23.6,33.8,21.1,4.6,12.7,25.8,30.8,30.7,55.07,D
1,Colorado,CO,CO-1,2016,2.9,70.9,7.9,5.8,4.1,3.1,47.9,15.5,21.4,7.7,7.4,83.0,11.3,6.4,62718,8.4,48.3,31.8,5.8,19.5,13.5,8.262,5.2379999999999995,23.6,93.5,812843,35.0,77.4,8.6,0.7,3.6,27.6,22.8,42.5,22.9,11.9,19.3,19.9,30.5,21.6,8.8,11.6,18.1,22.7,47.7,67.87,D
2,Colorado,CO,CO-2,2016,3.2,70.3,7.7,2.8,3.9,4.3,49.2,17.5,19.3,7.4,6.6,77.7,14.5,5.3,75659,5.9,37.5,40.8,7.4,20.7,7.4,4.1366,3.2634,10.6,96.7,803470,37.7,89.9,1.0,0.5,3.3,10.5,22.9,36.3,26.7,14.0,15.2,18.1,30.5,25.6,10.5,3.5,15.9,26.3,54.2,56.89,D
3,Colorado,CO,CO-3,2016,3.9,75.8,8.5,2.2,3.9,2.2,32.5,21.3,23.6,12.1,10.4,76.1,15.4,7.5,50817,9.7,37.2,23.9,9.3,16.3,6.0,4.0680000000000005,1.932,13.8,88.6,738119,40.2,88.8,1.0,2.9,1.0,24.3,24.4,31.0,27.2,17.4,25.0,24.1,31.2,16.0,3.6,10.4,27.9,32.6,29.2,54.6,R
4,Colorado,CO,CO-4,2016,3.0,77.9,9.0,1.0,2.3,1.5,39.9,15.2,22.4,11.0,11.5,79.6,12.9,4.6,67878,6.4,28.8,20.8,8.2,16.8,8.4,5.4012,2.9988,15.5,92.4,795836,37.1,92.0,1.4,0.6,2.1,22.2,28.3,32.1,26.3,13.3,17.1,19.6,31.4,24.0,8.0,8.9,24.8,31.3,34.9,63.55,R
5,Colorado,CO,CO-5,2016,3.5,76.4,11.4,0.5,3.4,1.4,41.0,19.0,24.1,7.9,8.0,76.7,17.1,5.1,62372,6.2,32.4,27.6,16.9,20.1,6.5,3.094,3.406,11.8,94.9,786939,35.5,81.7,5.9,0.5,2.8,15.8,26.2,35.3,25.3,13.3,18.1,22.0,32.8,22.2,4.8,5.8,21.3,35.9,37.0,62.28,R
6,Colorado,CO,CO-6,2016,2.8,76.6,9.5,3.4,1.9,1.3,42.2,15.8,24.2,8.5,9.3,84.1,11.1,3.0,76451,7.2,30.1,21.5,8.0,15.9,14.9,8.7761,6.1239,23.2,95.5,813566,36.6,71.8,9.4,0.7,6.8,19.2,27.5,35.2,25.7,11.7,11.0,19.1,33.5,27.6,9.0,7.4,21.7,29.0,41.9,50.91,R
7,Colorado,CO,CO-7,2016,2.9,77.9,9.1,4.1,1.6,1.1,36.7,17.3,24.6,10.6,10.9,82.5,11.7,4.1,66063,9.1,36.2,23.1,7.3,15.6,11.6,7.5168,4.0832,20.7,93.3,789772,35.9,87.3,1.8,1.1,3.4,29.7,25.4,36.3,25.4,12.8,13.7,22.0,36.1,22.8,5.3,12.2,24.7,30.7,32.4,55.18,D
4,Colorado,CO,CO-4,2018,2.5,78.8,8.9,0.9,1.7,1.2,41.5,14.8,22.1,10.6,11.0,80.0,13.3,3.9,77737,6.7,29.2,19.3,8.5,16.9,7.4,3.8554,3.5446,15.0,94.7,836061,37.3,89.7,1.6,0.7,2.6,21.4,27.3,32.5,26.0,13.9,13.8,17.7,30.5,28.0,10.2,8.0,23.1,32.9,36.0,60.62,R
3,Colorado,CO,CO-3,2018,3.1,74.6,9.5,1.7,3.3,2.9,35.4,20.1,22.0,12.9,9.5,74.5,16.4,6.7,55215,9.4,36.8,23.3,9.0,15.2,6.2,3.6394,2.5606,13.8,90.3,753595,40.4,89.6,0.9,2.4,0.9,24.9,24.4,30.7,25.9,18.6,21.9,23.6,32.8,18.0,3.7,9.1,26.8,32.3,31.9,51.52,R
2,Colorado,CO,CO-2,2018,2.5,70.3,6.8,3.1,4.4,3.8,49.7,16.1,20.4,5.5,8.4,79.4,14.0,5.1,81753,5.8,38.1,40.9,6.6,17.5,8.2,4.7888,3.4112,11.7,96.5,812357,37.7,90.3,0.9,0.4,3.1,11.4,22.2,36.1,25.7,15.0,13.5,16.3,29.5,28.5,12.3,3.5,14.0,26.5,56.1,60.29,D
1,Colorado,CO,CO-1,2018,2.6,69.7,7.7,5.6,4.6,3.8,48.7,14.9,20.2,7.7,8.6,83.5,11.1,5.8,71198,8.6,50.7,31.1,5.4,18.0,13.0,7.436,5.564,22.6,95.2,841497,35.1,78.3,7.8,0.9,3.7,27.0,22.1,43.8,22.5,12.0,16.6,18.9,28.9,25.3,10.3,10.6,15.9,22.6,50.8,73.81,D
6,Colorado,CO,CO-6,2018,2.6,77.3,8.2,3.3,1.2,1.3,42.5,15.1,22.6,9.0,10.8,82.8,11.7,3.5,82450,7.5,30.9,21.0,7.6,16.8,14.8,8.1844,6.6156,23.1,96.1,835273,37.0,73.6,9.7,0.9,6.4,21.2,26.9,35.1,25.8,12.1,11.4,17.6,30.6,29.1,11.0,7.6,21.5,28.3,42.6,54.1,D
7,Colorado,CO,CO-7,2018,2.3,77.9,9.5,3.3,1.5,1.1,39.7,16.1,22.4,9.7,12.2,83.0,12.6,4.1,73244,6.8,36.9,22.6,7.5,15.3,10.9,5.886,5.013999999999999,19.6,93.6,801315,36.4,87.0,1.7,0.8,3.1,29.5,24.5,37.0,24.1,14.0,12.9,19.5,32.8,28.2,6.6,11.0,24.4,28.9,35.7,60.43,D
5,Colorado,CO,CO-5,2018,3.2,76.6,9.7,0.6,4.0,1.4,40.9,18.0,22.4,9.3,9.3,79.1,15.1,4.7,66062,8.1,33.4,30.0,15.3,20.3,6.6,3.1548,3.4452,10.9,94.3,815466,36.0,81.1,6.0,0.8,2.9,16.6,25.7,35.6,24.4,14.2,17.0,20.3,33.6,22.9,6.1,6.8,21.0,34.9,37.2,57.03,R
1,Connecticut,CT,CT-1,2014,6.2,80.7,8.3,3.4,2.5,1.3,43.5,16.2,23.4,6.4,10.5,80.8,14.3,6.6,65352,5.6,35.4,27.4,6.8,12.2,14.7,6.7179,7.9821,24.0,86.4,711205,40.9,70.7,15.3,0.2,4.9,16.2,24.0,30.9,29.0,16.1,20.1,18.9,30.0,23.9,7.1,10.7,27.2,26.0,36.1,58.49,D
2,Connecticut,CT,CT-2,2014,4.2,79.9,9.2,1.6,3.6,1.3,40.3,19.6,21.4,8.9,9.8,77.5,16.6,4.6,70992,4.7,33.3,32.8,9.4,13.5,7.1,3.0885,4.0115,11.9,89.0,710798,41.9,86.2,4.3,0.3,3.0,7.9,23.6,30.5,29.8,16.1,15.3,19.6,32.9,25.9,6.3,8.2,30.0,28.0,33.9,57.6,D
3,Connecticut,CT,CT-3,2014,5.4,78.5,7.8,4.5,4.1,1.4,41.9,17.8,22.5,7.2,10.6,82.6,12.1,7.1,61574,6.0,40.5,34.7,6.1,11.2,11.6,6.1596,5.4404,19.9,84.1,720986,39.4,74.8,13.2,0.1,4.0,14.4,23.5,33.4,27.5,15.6,21.5,20.2,27.8,23.5,6.9,9.8,30.3,24.0,35.9,61.93,D
4,Connecticut,CT,CT-4,2014,5.8,69.7,7.2,12.2,3.4,1.2,45.9,17.1,23.7,7.1,6.2,82.6,9.4,5.3,88279,10.5,30.1,24.6,4.9,11.5,21.5,12.1045,9.3955,29.3,90.6,740215,38.9,72.5,12.1,0.2,5.5,19.0,26.9,31.0,28.3,13.9,14.9,15.9,24.3,23.3,21.6,9.9,20.5,20.5,49.1,51.01,D
5,Connecticut,CT,CT-5,2014,4.8,82.0,7.8,2.3,2.0,1.0,40.8,16.5,23.5,7.8,11.4,80.0,12.7,6.3,67929,7.6,33.1,26.3,6.4,10.2,13.2,7.3260000000000005,5.874,23.7,85.9,713473,41.5,80.3,6.7,0.1,3.7,17.6,24.5,30.4,29.6,15.6,18.3,19.6,29.6,23.9,8.7,11.0,29.6,24.3,35.2,49.82,D
1,Connecticut,CT,CT-1,2016,4.0,79.2,9.3,3.8,2.3,1.1,42.4,17.8,24.5,5.9,9.4,79.9,14.4,5.8,70215,3.9,35.9,27.9,5.9,11.4,14.7,6.3063,8.3937,23.6,88.0,712461,40.2,69.2,15.5,0.3,5.1,16.8,24.6,31.8,27.5,16.1,17.4,19.6,29.4,25.7,8.0,10.6,28.2,24.4,36.8,59.77,D
2,Connecticut,CT,CT-2,2016,4.0,81.0,7.8,1.5,2.7,1.3,41.1,18.9,22.6,8.3,9.1,79.5,14.4,4.3,74784,3.1,34.7,35.1,9.0,12.1,7.3,3.3142,3.9858,12.1,90.3,705034,41.9,86.4,4.1,0.3,3.5,8.3,22.8,30.7,29.7,16.8,15.3,17.3,32.2,26.3,8.9,7.1,29.5,28.2,35.1,56.38,D
3,Connecticut,CT,CT-3,2016,4.4,77.5,7.7,4.6,3.9,1.4,42.1,18.9,22.9,6.8,9.3,81.7,12.8,5.6,67774,4.8,38.7,35.4,5.9,11.4,13.5,6.6555,6.8445,22.2,88.6,717162,39.5,72.6,14.0,0.2,5.0,15.4,23.2,33.0,28.0,15.9,18.4,19.5,30.0,24.2,7.7,8.8,31.0,24.0,36.2,62.15,D
4,Connecticut,CT,CT-4,2016,5.0,69.8,7.6,12.3,3.0,1.0,45.6,18.8,21.7,6.5,7.4,81.8,9.2,4.5,94862,7.7,29.9,26.1,3.9,11.6,22.4,11.8048,10.5952,31.3,91.8,732469,39.8,73.3,12.6,0.3,5.4,19.8,26.3,30.7,28.6,14.4,14.3,15.6,22.1,26.2,21.9,10.5,20.4,20.3,48.9,59.9,D
5,Connecticut,CT,CT-5,2016,3.8,81.3,8.6,2.4,1.8,1.1,42.9,16.6,21.7,8.0,10.9,80.1,12.7,5.6,68904,4.6,36.0,26.7,5.6,9.8,13.6,5.8072,7.7928,24.1,87.9,709326,43.2,82.1,6.6,0.2,3.7,18.2,23.1,29.1,30.3,17.5,16.3,20.9,28.8,24.6,9.4,10.4,28.3,25.0,36.3,52.9,D
1,Connecticut,CT,CT-1,2018,3.5,80.6,8.4,3.5,1.4,1.2,42.2,16.5,22.3,6.3,12.7,81.1,13.6,5.9,73884,4.1,35.7,26.8,5.7,10.6,14.8,6.2456,8.5544,23.8,92.3,715049,40.4,69.5,15.5,0.2,5.5,17.6,23.7,31.2,27.5,17.5,17.8,17.4,27.8,27.7,9.3,9.6,28.2,25.2,37.0,60.61,D
2,Connecticut,CT,CT-2,2018,3.3,81.5,7.3,1.0,2.5,1.1,42.4,19.1,20.1,7.9,10.6,79.8,14.5,4.3,77908,3.5,34.6,35.8,8.4,12.8,7.5,3.435,4.065,12.0,92.8,699657,42.5,85.3,4.3,0.3,3.5,8.9,20.5,31.1,29.2,18.0,14.7,16.2,31.0,28.3,9.8,7.1,28.6,28.0,36.4,57.99,D
4,Connecticut,CT,CT-4,2018,4.3,70.1,8.3,11.3,2.8,0.9,47.9,16.5,21.0,7.1,7.5,83.0,9.8,6.1,93999,7.6,31.4,25.5,3.8,11.9,22.2,11.2332,10.9668,29.5,94.1,739090,40.6,71.3,12.1,0.3,6.0,19.8,24.8,30.1,28.7,15.6,14.9,14.2,22.8,24.9,23.3,9.7,19.2,20.0,51.1,61.21,D
5,Connecticut,CT,CT-5,2018,3.5,79.8,9.0,2.4,2.2,1.2,41.0,18.0,21.6,7.9,11.5,81.8,10.6,4.6,70742,5.9,36.0,25.6,5.8,10.1,14.8,6.8376,7.9624,24.5,90.3,706597,41.9,78.3,7.9,0.4,3.7,20.1,22.6,30.1,28.7,17.3,17.1,20.4,26.5,25.2,10.8,10.3,27.8,25.1,36.8,52.8,D
3,Connecticut,CT,CT-3,2018,3.6,77.9,7.8,3.8,4.2,1.6,43.2,18.4,21.3,6.8,10.2,82.5,12.5,5.7,70498,5.2,38.5,35.6,5.5,11.8,13.1,6.2618,6.8382,20.5,92.0,712272,39.9,72.2,14.7,0.2,4.6,16.1,21.1,33.2,27.0,17.5,17.6,18.1,30.5,24.6,9.2,8.6,30.6,24.1,36.6,60.4,D
0,Delaware,DE,DE-0,2014,4.2,81.5,7.6,2.9,2.2,1.3,38.8,18.0,23.7,8.0,11.5,81.4,14.4,6.7,59716,7.8,33.4,30.6,9.9,11.8,8.6,4.4032,4.1968,13.0,85.2,935614,39.6,69.2,21.7,0.4,3.9,8.9,24.7,31.7,27.1,16.4,18.8,23.5,31.4,21.1,5.2,11.1,31.2,27.1,30.6,59.26,D
0,Delaware,DE,DE-0,2016,3.5,81.0,9.0,2.7,1.9,1.0,39.9,17.5,22.5,9.5,10.7,82.4,13.5,5.9,61757,5.7,33.8,27.6,8.5,12.6,9.4,4.7658,4.6342,12.9,90.7,952065,40.6,69.2,22.0,0.4,3.9,9.2,24.1,31.3,27.0,17.5,18.0,22.8,32.4,21.4,5.6,10.7,32.1,26.3,31.0,55.53,D
0,Delaware,DE,DE-0,2018,3.5,79.6,9.1,2.2,2.4,1.1,38.8,18.9,22.1,8.7,11.5,80.2,15.2,6.0,64805,5.7,35.2,26.6,8.8,10.7,9.4,5.0008,4.3992,13.1,92.9,967171,41.1,68.2,22.5,0.5,4.1,9.5,22.5,31.0,26.8,18.7,18.3,20.8,31.9,22.3,6.6,10.2,33.2,25.3,31.4,64.45,D
1,Florida,FL,FL-1,2014,4.0,80.4,9.0,0.3,1.1,2.1,35.2,19.7,26.1,10.1,8.9,75.5,17.8,6.4,50926,13.5,35.6,27.5,17.1,17.5,5.5,2.4805,3.0195,7.7,87.1,743897,38.2,76.9,13.5,0.6,2.9,6.2,24.3,33.7,26.3,15.7,21.5,27.3,32.4,15.5,3.2,9.5,28.5,34.9,27.1,70.15,R
2,Florida,FL,FL-2,2014,5.8,82.3,9.4,1.4,1.9,2.0,37.1,20.7,24.9,9.1,8.2,67.7,27.4,10.8,43045,13.6,38.9,40.6,10.3,21.1,5.1,2.6826,2.4174,8.0,84.9,711296,36.8,69.3,25.0,0.5,2.2,5.8,23.5,36.4,25.5,14.5,27.8,28.4,26.9,14.3,2.7,13.6,29.3,30.3,26.8,50.48,D
3,Florida,FL,FL-3,2014,5.5,79.6,9.5,1.6,2.3,2.3,36.4,20.0,24.9,9.1,9.7,72.1,22.0,10.9,45273,14.3,35.5,37.9,12.1,18.1,7.1,3.0956,4.0044,11.1,84.4,716034,38.8,80.1,12.6,0.3,3.0,9.1,24.2,32.8,25.9,17.0,28.2,25.6,30.0,13.5,2.7,11.9,31.5,32.0,24.5,64.98,R
4,Florida,FL,FL-4,2014,4.4,81.0,9.3,0.9,1.2,2.6,38.3,18.7,26.4,8.1,8.6,84.8,10.3,6.1,54281,13.0,36.7,28.4,12.7,17.3,10.3,4.6659,5.6341,13.8,89.0,714880,38.1,77.6,13.6,0.2,4.6,8.2,24.1,35.0,26.8,14.4,19.3,26.7,31.2,18.1,4.6,8.6,28.4,32.4,30.5,78.28,R
